.VERSION 1.0
.INCLUDE lex/lex0.doc
.INCLUDE lex/lex0.freq
.INCLUDE lex/data/lex0/robip1.dat
.SEGMENT TEXT 0-23 ? "I know a bachelor who's so"
.SEGMENT TEXT 94-113 ? "LOAY J SVES Z E"
.SEGMENT TEXT 136-154 ? "as the Year of the Citrus."
.SEGMENT TEXT 155-173 ? "You've never seen so many"
.SEGMENT TEXT 174-181 ? "lemons!"
.SEGMENT TEXT 182-193 ? "(919) 276-8382"
.SEGMENT TEXT 194-208 ? "(914) 471-8937"
.SEGMENT TEXT 220-237 ? "I just heard of a real"
.SEGMENT TEXT 263-278 ? "wool for fat moths!"
.SEGMENT TEXT 302-315 ? "(712) 467-0061"
.SEGMENT TEXT 316-327 ? "Sandra Heller"
.SEGMENT TEXT 328-341 ? "Kathy Shechet"
.SEGMENT TEXT 354-372 ? "Mendham, NJ 07945"
.SEGMENT TEXT 373-390 ? "(315) 464-6443"
.SEGMENT TEXT 391-407 ? "Michele Baptista"
.SEGMENT TEXT 408-416 ? "Lisa Butler"
.SEGMENT TEXT 650-660 ? "president."
.SEGMENT TEXT 674-693 ? "247 Princeton Ave."
.SEGMENT TEXT 795-822 ? "about, frightening all the"
.SEGMENT TEXT 850-874 ? "fox came along, the ass in"
.SEGMENT TEXT 875-900 ? "the lion's skin tried to"
.SEGMENT TEXT 927-952 ? "fox, having heard his voice,"
.SEGMENT TEXT 1009-1028 ? "disguise your bray.\""
.SEGMENT TEXT 1029-1043 ? "(711) 524-9927"
.SEGMENT TEXT 1059-1074 ? "(512) 605-7573"
.SEGMENT TEXT 1162-1178 ? "man it is -- a man or a"
.SEGMENT TEXT 1201-1210 ? "the rocks.\""
.SEGMENT TEXT 1211-1239 ? "A tax increase of that scale"
.SEGMENT TEXT 1257-1312 ? "one-fourth the size of the"
.SEGMENT TEXT 1331-1356 ? "presumably cancel some of the"
.SEGMENT TEXT 1357-1390 ? "package's stimulative effect."
.SEGMENT TEXT 1391-1420 ? "Japanese pension officials"
.SEGMENT TEXT 1421-1440 ? "couldn't be reached to"
.SEGMENT TEXT 1467-1478 ? "estimate."
.SEGMENT TEXT 1479-1528 ? "\"I tried to call to them, but"
.SEGMENT TEXT 1552-1579 ? "apparently different from"
.SEGMENT TEXT 1580-1602 ? "that of the Upperworld"
.SEGMENT TEXT 1763-1787 ? "for it now,' and, feeling my"
.SEGMENT TEXT 1817-1869 ? "the noise of machinery grow"
.SEGMENT TEXT 1895-1920 ? "fell away from me, and I came"
.SEGMENT TEXT 1943-1970 ? "striking another match, saw"
.SEGMENT TEXT 1971-1995 ? "that I had entered a vast"
.SEGMENT TEXT 2015-2045 ? "stretched into utter darkness"
.SEGMENT TEXT 2073-2098 ? "The view I had of it was as"
.SEGMENT TEXT 2122-2139 ? "burning of a match."
.SEGMENT TEXT 2140-2166 ? "My wife is so neat, when she"
.SEGMENT TEXT 2190-2206 ? "hospital corners."
.SEGMENT TEXT 2221-2234 ? "(611) 328-0249"
.SEGMENT TEXT 2314-2339 ? "still isn't cheap based on"
.SEGMENT TEXT 2340-2365 ? "most traditional market"
.SEGMENT TEXT 2366-2394 ? "yardsticks. But after a 19%"
.SEGMENT TEXT 2419-2447 ? "Wal-Mart looks like a bargain"
.SEGMENT TEXT 2469-2493 ? "investors, who envision"
.SEGMENT TEXT 2611-2638 ? "disclose that a boy's mother"
.SEGMENT TEXT 2639-2663 ? "had a long history of mental"
.SEGMENT TEXT 2684-2713 ? "lobotomy before giving birth."
.SEGMENT TEXT 2714-2739 ? "The boy, now in his late 20s,"
.SEGMENT TEXT 2762-2780 ? "disorders including"
.SEGMENT TEXT 2969-2990 ? "New cars have a tremendous"
.SEGMENT TEXT 3015-3042 ? "tag. It's so high you can't"
.SEGMENT TEXT 3076-3097 ? "Ft Collins, CO 80524"
.SEGMENT TEXT 3110-3126 ? "(500) 656-5460"
.SEGMENT TEXT 3155-3182 ? "child. You know how some kids"
.SEGMENT TEXT 3217-3230 ? "library paste."
.SEGMENT TEXT 3231-3254 ? "I ABCJ TUDWF NIPRK"
.SEGMENT TEXT 3255-3276 ? "\"Didn't go back by any"
.SEGMENT TEXT 3306-3332 ? "escaped and that's all, eh?\""
.SEGMENT TEXT 3333-3362 ? "H FQI I BVCC M"
.SEGMENT TEXT 3363-3373 ? "Renee Doyle"
.SEGMENT TEXT 3392-3408 ? "4351 Sunridge Dr."
